nohup: ignoring input
epoch 0 batch 0: loss:232.698227; accuracy:0.0622
epoch 1 batch 23: loss:3.461201; accuracy:0.1000
epoch 1 batch 24: loss:3.506202; accuracy:0.0889
epoch 1 batch 25: loss:3.469620; accuracy:0.0822
epoch 1 batch 26: loss:3.500448; accuracy:0.0644
epoch 1 batch 27: loss:3.429360; accuracy:0.1000
epoch 1 batch 28: loss:3.681420; accuracy:0.0622
epoch 1 batch 29: loss:3.464011; accuracy:0.0689
epoch 1 batch 30: loss:3.472051; accuracy:0.0844
epoch 1 batch 31: loss:3.504513; accuracy:0.0711
epoch 1 batch 32: loss:3.638039; accuracy:0.0711
epoch 1 batch 33: loss:3.429399; accuracy:0.0733
epoch 1 batch 34: loss:3.434161; accuracy:0.0800
epoch 1 batch 35: loss:3.636356; accuracy:0.0733
epoch 1 batch 36: loss:3.563263; accuracy:0.0578
epoch 1 batch 37: loss:3.444913; accuracy:0.0867
epoch 1 batch 38: loss:3.458308; accuracy:0.0778
epoch 1 batch 39: loss:3.425268; accuracy:0.0800
epoch 1 batch 40: loss:3.547989; accuracy:0.0756
epoch 1 batch 41: loss:3.553046; accuracy:0.1044
epoch 1 batch 42: loss:3.614357; accuracy:0.0778
epoch 1 batch 43: loss:3.505729; accuracy:0.0689
epoch 1 batch 44: loss:3.386672; accuracy:0.0844
epoch 1 batch 45: loss:3.565240; accuracy:0.0578
epoch 1 batch 46: loss:3.501879; accuracy:0.0622
epoch 1 batch 47: loss:3.531659; accuracy:0.0622
epoch 1 batch 48: loss:3.434497; accuracy:0.0956
epoch 1 batch 49: loss:3.543946; accuracy:0.0800
epoch 1 batch 50: loss:3.464283; accuracy:0.0733
epoch 1 batch 51: loss:3.418174; accuracy:0.0978
epoch 1 batch 52: loss:3.388630; accuracy:0.0889
epoch 1 batch 53: loss:3.573671; accuracy:0.0622
epoch 1 batch 54: loss:3.498374; accuracy:0.0733
epoch 1 batch 55: loss:3.316178; accuracy:0.0956
epoch 1 batch 56: loss:3.415655; accuracy:0.0711
epoch 1 batch 57: loss:3.613452; accuracy:0.0644
epoch 1 batch 58: loss:3.399342; accuracy:0.0911
epoch 1 batch 59: loss:3.396895; accuracy:0.0867
epoch 1 batch 60: loss:3.370176; accuracy:0.0733
epoch 1 batch 61: loss:3.500477; accuracy:0.0778
epoch 1 batch 62: loss:3.418817; accuracy:0.0978
epoch 1 batch 63: loss:3.397556; accuracy:0.0867
epoch 1 batch 64: loss:3.402444; accuracy:0.0911
epoch 1 batch 65: loss:3.419039; accuracy:0.1067
epoch 1 batch 66: loss:3.368174; accuracy:0.0756
epoch 1 batch 67: loss:3.437318; accuracy:0.0600
epoch 1 batch 68: loss:3.492886; accuracy:0.0644
epoch 1 batch 69: loss:3.354569; accuracy:0.0911
epoch 1 batch 70: loss:3.587849; accuracy:0.0511
epoch 1 batch 71: loss:3.455294; accuracy:0.0844
epoch 1 batch 72: loss:3.467808; accuracy:0.0622
epoch 1 batch 73: loss:3.521760; accuracy:0.0644
epoch 1 batch 74: loss:3.353283; accuracy:0.0933
epoch 1 batch 75: loss:3.427331; accuracy:0.0844
epoch 1 batch 76: loss:3.464812; accuracy:0.0689
epoch 1 batch 77: loss:3.435657; accuracy:0.0756
epoch 1 batch 78: loss:3.452016; accuracy:0.0756
epoch 1 batch 79: loss:3.441009; accuracy:0.0733
epoch 1 batch 80: loss:3.409089; accuracy:0.0711
epoch 1 batch 81: loss:3.381609; accuracy:0.1089
epoch 1 batch 82: loss:3.474091; accuracy:0.0889
epoch 1 batch 83: loss:3.414243; accuracy:0.0933
epoch 1 batch 84: loss:3.478781; accuracy:0.0867
epoch 1 batch 85: loss:3.369267; accuracy:0.0956
epoch 1 batch 86: loss:3.409489; accuracy:0.0867
epoch 1 batch 87: loss:3.428122; accuracy:0.0800
epoch 1 batch 88: loss:3.435398; accuracy:0.0400
epoch 1 batch 89: loss:3.332786; accuracy:0.1111
epoch 1 batch 90: loss:3.559387; accuracy:0.0622
epoch 1 batch 91: loss:3.320662; accuracy:0.0822
epoch 1 batch 92: loss:3.453721; accuracy:0.0800
epoch 1 batch 93: loss:3.523514; accuracy:0.0511
epoch 1 batch 94: loss:3.422701; accuracy:0.0822
epoch 1 batch 95: loss:3.489349; accuracy:0.0867
epoch 1 batch 96: loss:3.387970; accuracy:0.0822
epoch 1 batch 97: loss:3.279958; accuracy:0.0844
epoch 1 batch 98: loss:3.384807; accuracy:0.1000
epoch 1 batch 99: loss:3.485810; accuracy:0.0911

epoch 1, on val, loss=1.6736 acc=0.2782

==> best loss model (loss = 1.673638), saving model...

epoch 2 batch 0: loss:3.352231; accuracy:0.0956
epoch 2 batch 1: loss:3.371011; accuracy:0.0911
epoch 2 batch 2: loss:3.506283; accuracy:0.0600
epoch 2 batch 3: loss:3.381347; accuracy:0.0778
epoch 2 batch 4: loss:3.392759; accuracy:0.1244
epoch 2 batch 5: loss:3.418482; accuracy:0.0689
epoch 2 batch 6: loss:3.323621; accuracy:0.0911
epoch 2 batch 7: loss:3.456567; accuracy:0.0622
epoch 2 batch 8: loss:3.474918; accuracy:0.0711
epoch 2 batch 9: loss:3.525242; accuracy:0.0889
epoch 2 batch 10: loss:3.469500; accuracy:0.0844
epoch 2 batch 11: loss:3.423845; accuracy:0.0800
epoch 2 batch 12: loss:3.419601; accuracy:0.0800
epoch 2 batch 13: loss:3.337147; accuracy:0.0778
epoch 2 batch 14: loss:3.367122; accuracy:0.0800
epoch 2 batch 15: loss:3.380101; accuracy:0.0733
epoch 2 batch 16: loss:3.453709; accuracy:0.0600
epoch 2 batch 17: loss:3.449312; accuracy:0.0644
epoch 2 batch 18: loss:3.455163; accuracy:0.0667
epoch 2 batch 19: loss:3.536928; accuracy:0.0533
epoch 2 batch 20: loss:3.420218; accuracy:0.0733
epoch 2 batch 21: loss:3.506357; accuracy:0.0556
epoch 2 batch 22: loss:3.422022; accuracy:0.0689
epoch 2 batch 23: loss:3.264429; accuracy:0.0978
epoch 2 batch 24: loss:3.384340; accuracy:0.0822
epoch 2 batch 25: loss:3.468307; accuracy:0.0622
epoch 2 batch 26: loss:3.443650; accuracy:0.0489
epoch 2 batch 27: loss:3.320194; accuracy:0.1111
epoch 2 batch 28: loss:3.389588; accuracy:0.1022
epoch 2 batch 29: loss:3.402261; accuracy:0.0800
epoch 2 batch 30: loss:3.463640; accuracy:0.0556
epoch 2 batch 31: loss:3.383309; accuracy:0.0667
epoch 2 batch 32: loss:3.379377; accuracy:0.0822
epoch 2 batch 33: loss:3.462665; accuracy:0.0689
epoch 2 batch 34: loss:3.356657; accuracy:0.0933
epoch 2 batch 35: loss:3.420078; accuracy:0.0667
epoch 2 batch 36: loss:3.350930; accuracy:0.1044
epoch 2 batch 37: loss:3.341168; accuracy:0.0711
epoch 2 batch 38: loss:3.409786; accuracy:0.0578
epoch 2 batch 39: loss:3.336985; accuracy:0.0844
epoch 2 batch 40: loss:3.376292; accuracy:0.0911
epoch 2 batch 41: loss:3.344111; accuracy:0.0778
epoch 2 batch 42: loss:3.419529; accuracy:0.0600
epoch 2 batch 43: loss:3.350624; accuracy:0.0933
epoch 2 batch 44: loss:3.440774; accuracy:0.0867
epoch 2 batch 45: loss:3.429424; accuracy:0.0644
epoch 2 batch 46: loss:3.268651; accuracy:0.1222
epoch 2 batch 47: loss:3.267724; accuracy:0.0867
epoch 2 batch 48: loss:3.472849; accuracy:0.0689
epoch 2 batch 49: loss:3.492634; accuracy:0.0556
epoch 2 batch 50: loss:3.294576; accuracy:0.0844
epoch 2 batch 51: loss:3.327290; accuracy:0.0911
epoch 2 batch 52: loss:3.392721; accuracy:0.0756
epoch 2 batch 53: loss:3.369646; accuracy:0.0667
epoch 2 batch 54: loss:3.336077; accuracy:0.0711
epoch 2 batch 55: loss:3.337362; accuracy:0.0711
epoch 2 batch 56: loss:3.410402; accuracy:0.0756
epoch 2 batch 57: loss:3.280465; accuracy:0.1022
epoch 2 batch 58: loss:3.266824; accuracy:0.1089
epoch 2 batch 59: loss:3.365485; accuracy:0.0889
epoch 2 batch 60: loss:3.370933; accuracy:0.1022
epoch 2 batch 61: loss:3.390971; accuracy:0.0978
epoch 2 batch 62: loss:3.319611; accuracy:0.0911
epoch 2 batch 63: loss:3.334054; accuracy:0.1000
epoch 2 batch 64: loss:3.327863; accuracy:0.1200
epoch 2 batch 65: loss:3.409448; accuracy:0.0600
epoch 2 batch 66: loss:3.462743; accuracy:0.0689
epoch 2 batch 67: loss:3.283378; accuracy:0.1111
epoch 2 batch 68: loss:3.320604; accuracy:0.0978
epoch 2 batch 69: loss:3.462725; accuracy:0.0711
epoch 2 batch 70: loss:3.358171; accuracy:0.0667
epoch 2 batch 71: loss:3.252540; accuracy:0.1067
epoch 2 batch 72: loss:3.471556; accuracy:0.0511
epoch 2 batch 73: loss:3.379255; accuracy:0.0800
epoch 2 batch 74: loss:3.378720; accuracy:0.0867
epoch 2 batch 75: loss:3.380896; accuracy:0.0978
epoch 2 batch 76: loss:3.332281; accuracy:0.0911
epoch 2 batch 77: loss:3.384061; accuracy:0.0756
epoch 2 batch 78: loss:3.416589; accuracy:0.0622
epoch 2 batch 79: loss:3.323016; accuracy:0.0844
epoch 2 batch 80: loss:3.340304; accuracy:0.0689
epoch 2 batch 81: loss:3.301934; accuracy:0.1000
epoch 2 batch 82: loss:3.367074; accuracy:0.0822
epoch 2 batch 83: loss:3.252880; accuracy:0.1111
epoch 2 batch 84: loss:3.381856; accuracy:0.0756
epoch 2 batch 85: loss:3.371981; accuracy:0.1000
epoch 2 batch 86: loss:3.368540; accuracy:0.0622
epoch 2 batch 87: loss:3.470242; accuracy:0.0489
epoch 2 batch 88: loss:3.397651; accuracy:0.0622
epoch 2 batch 89: loss:3.272312; accuracy:0.1200
epoch 2 batch 90: loss:3.459034; accuracy:0.0644
epoch 2 batch 91: loss:3.297143; accuracy:0.1022
epoch 2 batch 92: loss:3.321083; accuracy:0.0933
epoch 2 batch 93: loss:3.407140; accuracy:0.0667
epoch 2 batch 94: loss:3.277214; accuracy:0.1022
epoch 2 batch 95: loss:3.411660; accuracy:0.0644
epoch 2 batch 96: loss:3.356539; accuracy:0.0756
epoch 2 batch 97: loss:3.276121; accuracy:0.0800
epoch 2 batch 98: loss:3.314412; accuracy:0.0867
epoch 2 batch 99: loss:3.450750; accuracy:0.0756

epoch 2, on val, loss=1.6186 acc=0.2904

==> best loss model (loss = 1.618554), saving model...

epoch 3 batch 0: loss:3.405638; accuracy:0.0578
epoch 3 batch 1: loss:3.243850; accuracy:0.1267
epoch 3 batch 2: loss:3.424224; accuracy:0.0600
epoch 3 batch 3: loss:3.309004; accuracy:0.0956
epoch 3 batch 4: loss:3.489394; accuracy:0.1178
epoch 3 batch 5: loss:3.256222; accuracy:0.1178
epoch 3 batch 6: loss:3.337211; accuracy:0.0822
epoch 3 batch 7: loss:3.317618; accuracy:0.0822
epoch 3 batch 8: loss:3.378371; accuracy:0.0400
epoch 3 batch 9: loss:3.386083; accuracy:0.0956
epoch 3 batch 10: loss:3.328641; accuracy:0.0956
epoch 3 batch 11: loss:3.427230; accuracy:0.0800
epoch 3 batch 12: loss:3.301799; accuracy:0.1022
epoch 3 batch 13: loss:3.385049; accuracy:0.0689
epoch 3 batch 14: loss:3.333136; accuracy:0.1089
epoch 3 batch 15: loss:3.374219; accuracy:0.0978
epoch 3 batch 16: loss:3.282708; accuracy:0.0867
epoch 3 batch 17: loss:3.267844; accuracy:0.1089
epoch 3 batch 18: loss:3.260828; accuracy:0.1178
epoch 3 batch 19: loss:3.398540; accuracy:0.0911
epoch 3 batch 20: loss:3.305298; accuracy:0.0889
epoch 3 batch 21: loss:3.229812; accuracy:0.1067
epoch 3 batch 22: loss:3.310208; accuracy:0.1044
epoch 3 batch 23: loss:3.174063; accuracy:0.1378
epoch 3 batch 24: loss:3.323907; accuracy:0.0978
epoch 3 batch 25: loss:3.361910; accuracy:0.0889
epoch 3 batch 26: loss:3.268541; accuracy:0.0889
epoch 3 batch 27: loss:3.334246; accuracy:0.0778
epoch 3 batch 28: loss:3.351502; accuracy:0.0978
epoch 3 batch 29: loss:3.375500; accuracy:0.0578
epoch 3 batch 30: loss:3.264883; accuracy:0.1022
epoch 3 batch 31: loss:3.336091; accuracy:0.0933
epoch 3 batch 32: loss:3.323364; accuracy:0.0711
epoch 3 batch 33: loss:3.385875; accuracy:0.0822
epoch 3 batch 34: loss:3.219226; accuracy:0.1067
epoch 3 batch 35: loss:3.268135; accuracy:0.0711
epoch 3 batch 36: loss:3.362633; accuracy:0.0844
epoch 3 batch 37: loss:3.391559; accuracy:0.0822
epoch 3 batch 38: loss:3.354071; accuracy:0.0822
epoch 3 batch 39: loss:3.310787; accuracy:0.1044
epoch 3 batch 40: loss:3.270467; accuracy:0.1111
epoch 3 batch 41: loss:3.257774; accuracy:0.0644
epoch 3 batch 42: loss:3.297367; accuracy:0.0933
epoch 3 batch 43: loss:3.364763; accuracy:0.1044
epoch 3 batch 44: loss:3.393401; accuracy:0.0622
epoch 3 batch 45: loss:3.262940; accuracy:0.0978
epoch 3 batch 46: loss:3.383949; accuracy:0.0978
epoch 3 batch 47: loss:3.227181; accuracy:0.1111
epoch 3 batch 48: loss:3.412642; accuracy:0.0667
epoch 3 batch 49: loss:3.349871; accuracy:0.0689
epoch 3 batch 50: loss:3.352588; accuracy:0.1022
epoch 3 batch 51: loss:3.381386; accuracy:0.0933
epoch 3 batch 52: loss:3.360497; accuracy:0.0689
epoch 3 batch 53: loss:3.342575; accuracy:0.0867
epoch 3 batch 54: loss:3.259944; accuracy:0.0778
epoch 3 batch 55: loss:3.421115; accuracy:0.0489
epoch 3 batch 56: loss:3.319145; accuracy:0.0889
epoch 3 batch 57: loss:3.238959; accuracy:0.1089
epoch 3 batch 58: loss:3.334646; accuracy:0.1067
epoch 3 batch 59: loss:3.449832; accuracy:0.0733
epoch 3 batch 60: loss:3.230259; accuracy:0.0956
epoch 3 batch 61: loss:3.271874; accuracy:0.1089
epoch 3 batch 62: loss:3.350365; accuracy:0.0911
epoch 3 batch 63: loss:3.246701; accuracy:0.0644
epoch 3 batch 64: loss:3.210383; accuracy:0.1067
epoch 3 batch 65: loss:3.278694; accuracy:0.0889
epoch 3 batch 66: loss:3.220687; accuracy:0.1111
epoch 3 batch 67: loss:3.269382; accuracy:0.1067
epoch 3 batch 68: loss:3.229182; accuracy:0.1044
epoch 3 batch 69: loss:3.411412; accuracy:0.0578
epoch 3 batch 70: loss:3.220115; accuracy:0.1467
epoch 3 batch 71: loss:3.354479; accuracy:0.0689
epoch 3 batch 72: loss:3.235747; accuracy:0.1089
epoch 3 batch 73: loss:3.441063; accuracy:0.0911
epoch 3 batch 74: loss:3.324306; accuracy:0.0844
epoch 3 batch 75: loss:3.217397; accuracy:0.1400
epoch 3 batch 76: loss:3.375071; accuracy:0.0689
epoch 3 batch 77: loss:3.215940; accuracy:0.1089
epoch 3 batch 78: loss:3.405915; accuracy:0.0978
epoch 3 batch 79: loss:3.272924; accuracy:0.1200
epoch 3 batch 80: loss:3.258523; accuracy:0.1111
epoch 3 batch 81: loss:3.237074; accuracy:0.0978
epoch 3 batch 82: loss:3.253092; accuracy:0.0889
epoch 3 batch 83: loss:3.406275; accuracy:0.0667
epoch 3 batch 84: loss:3.508103; accuracy:0.0711
epoch 3 batch 85: loss:3.332765; accuracy:0.0800
epoch 3 batch 86: loss:3.276640; accuracy:0.0556
epoch 3 batch 87: loss:3.314137; accuracy:0.0689
epoch 3 batch 88: loss:3.352386; accuracy:0.0867
epoch 3 batch 89: loss:3.196146; accuracy:0.1267
epoch 3 batch 90: loss:3.331448; accuracy:0.0933
epoch 3 batch 91: loss:3.336013; accuracy:0.1022
epoch 3 batch 92: loss:3.377658; accuracy:0.0844
epoch 3 batch 93: loss:3.316795; accuracy:0.1067
epoch 3 batch 94: loss:3.401568; accuracy:0.0489
epoch 3 batch 95: loss:3.286499; accuracy:0.1356
epoch 3 batch 96: loss:3.315020; accuracy:0.0867
epoch 3 batch 97: loss:3.324916; accuracy:0.0667
epoch 3 batch 98: loss:3.276179; accuracy:0.0689
epoch 3 batch 99: loss:3.310308; accuracy:0.0911

epoch 3, on val, loss=1.5978 acc=0.2912

==> best loss model (loss = 1.597833), saving model...

epoch 4 batch 0: loss:3.271450; accuracy:0.0933
epoch 4 batch 1: loss:3.340784; accuracy:0.0644
epoch 4 batch 2: loss:3.336705; accuracy:0.1267
epoch 4 batch 3: loss:3.279846; accuracy:0.0978
epoch 4 batch 4: loss:3.246958; accuracy:0.1267
epoch 4 batch 5: loss:3.275048; accuracy:0.1089
epoch 4 batch 6: loss:3.242407; accuracy:0.1089
epoch 4 batch 7: loss:3.211423; accuracy:0.1200
epoch 4 batch 8: loss:3.248773; accuracy:0.0733
epoch 4 batch 9: loss:3.346812; accuracy:0.0911
epoch 4 batch 10: loss:3.301697; accuracy:0.1044
epoch 4 batch 11: loss:3.282228; accuracy:0.1044
epoch 4 batch 12: loss:3.368244; accuracy:0.0711
epoch 4 batch 13: loss:3.343697; accuracy:0.0933
epoch 4 batch 14: loss:3.202842; accuracy:0.1156
epoch 4 batch 15: loss:3.277885; accuracy:0.0822
epoch 4 batch 16: loss:3.285335; accuracy:0.0956
epoch 4 batch 17: loss:3.189334; accuracy:0.1178
epoch 4 batch 18: loss:3.344824; accuracy:0.0956
epoch 4 batch 19: loss:3.324579; accuracy:0.0956
epoch 4 batch 20: loss:3.322124; accuracy:0.0800
epoch 4 batch 21: loss:3.137822; accuracy:0.1378
epoch 4 batch 22: loss:3.292437; accuracy:0.0844
epoch 4 batch 23: loss:3.376469; accuracy:0.0578
epoch 4 batch 24: loss:3.258233; accuracy:0.1111
epoch 4 batch 25: loss:3.347161; accuracy:0.0733
epoch 4 batch 26: loss:3.231302; accuracy:0.1022
epoch 4 batch 27: loss:3.268579; accuracy:0.1200
epoch 4 batch 28: loss:3.399661; accuracy:0.0800
epoch 4 batch 29: loss:3.413430; accuracy:0.0800
epoch 4 batch 30: loss:3.278771; accuracy:0.0778
epoch 4 batch 31: loss:3.306892; accuracy:0.0844
epoch 4 batch 32: loss:3.319418; accuracy:0.0778
epoch 4 batch 33: loss:3.378531; accuracy:0.0889
epoch 4 batch 34: loss:3.332416; accuracy:0.1089
epoch 4 batch 35: loss:3.322432; accuracy:0.0733
epoch 4 batch 36: loss:3.155497; accuracy:0.1133
epoch 4 batch 37: loss:3.244988; accuracy:0.1133
epoch 4 batch 38: loss:3.231386; accuracy:0.1089
epoch 4 batch 39: loss:3.259649; accuracy:0.0911
epoch 4 batch 40: loss:3.425352; accuracy:0.0644
epoch 4 batch 41: loss:3.329782; accuracy:0.1022
epoch 4 batch 42: loss:3.267410; accuracy:0.1133
epoch 4 batch 43: loss:3.363010; accuracy:0.0800
epoch 4 batch 44: loss:3.297862; accuracy:0.0822
epoch 4 batch 45: loss:3.311363; accuracy:0.0978
epoch 4 batch 46: loss:3.200107; accuracy:0.1156
epoch 4 batch 47: loss:3.227815; accuracy:0.0956
epoch 4 batch 48: loss:3.175418; accuracy:0.1533
epoch 4 batch 49: loss:3.433053; accuracy:0.0800
epoch 4 batch 50: loss:3.250329; accuracy:0.1022
epoch 4 batch 51: loss:3.248591; accuracy:0.0956
epoch 4 batch 52: loss:3.324101; accuracy:0.0489
epoch 4 batch 53: loss:3.350806; accuracy:0.0911
epoch 4 batch 54: loss:3.297012; accuracy:0.1000
epoch 4 batch 55: loss:3.293586; accuracy:0.0778
epoch 4 batch 56: loss:3.217324; accuracy:0.1378
epoch 4 batch 57: loss:3.360868; accuracy:0.0933
epoch 4 batch 58: loss:3.292096; accuracy:0.0800
epoch 4 batch 59: loss:3.247730; accuracy:0.1200
epoch 4 batch 60: loss:3.232452; accuracy:0.0956
epoch 4 batch 61: loss:3.239896; accuracy:0.1044
epoch 4 batch 62: loss:3.402297; accuracy:0.0600
epoch 4 batch 63: loss:3.295369; accuracy:0.1067
epoch 4 batch 64: loss:3.128153; accuracy:0.1200
epoch 4 batch 65: loss:3.327574; accuracy:0.1067
epoch 4 batch 66: loss:3.293441; accuracy:0.0867
epoch 4 batch 67: loss:3.157999; accuracy:0.1178
epoch 4 batch 68: loss:3.343404; accuracy:0.0756
epoch 4 batch 69: loss:3.249729; accuracy:0.0867
epoch 4 batch 70: loss:3.302094; accuracy:0.0889
epoch 4 batch 71: loss:3.300487; accuracy:0.0933
epoch 4 batch 72: loss:3.362831; accuracy:0.0822
epoch 4 batch 73: loss:3.298704; accuracy:0.1089
